type,brand,name,price,external_sku,internal_sku,simular_sku,tracked_sku
weather-stations,LaCrosse,La Crosse Digital Back Light Wall Clock with Day Display,112,513-1419BLV4,0,0,FALSE
weather-stations,LaCrosse,La Crosse Digital Rain Monitor with Indoor Temperature,103.56,724-2310,724-2310,0,FALSE
weather-stations,LaCrosse,La Crosse Moon Phase Wall Clock with Outdoor Temperature,101.62,513-1417AL,0,0,FALSE
weather-stations,LaCrosse,La Crosse Bluetooth Speaker Colour Weather Station,91.35,S86842,0,0,FALSE
weather-stations,LaCrosse,La Crosse Moon Phase Weather Station,86.74,308-1711BL,0,0,FALSE
weather-stations,LaCrosse,Solar Digital Wall Clock Indoor Temp Humidity,86.63,WT8112U,0,0,FALSE
weather-stations,LaCrosse,La Crosse Digital Rain Monitor with Indoor Temperature,80.66,724-1409,724-1409,0,FALSE
weather-stations,LaCrosse,La Crosse Wireless Thermometer,79.63,308-179OR,0,0,FALSE
weather-stations,LaCrosse,La Crosse Alarm Clock 2 USB Charging Station,76.08,C86224,0,0,FALSE
weather-stations,LaCrosse,La Crosse WS-9160U-IT Wireless Weather Station,75.25,WS-9160U-IT-CBP,0,0,FALSE
weather-stations,LaCrosse,La Crosse Analog Wall Clock with Night Sensor,52.1,403-310,0,0,FALSE
weather-stations,LaCrosse,La Crosse Smart Talking Clock Time and Temperature Speaking,39.97,TALKING-CLOCK,0,0,FALSE
weather-stations,LaCrosse,La Crosse Digital Thermo Hygrometer Comfort Meter,37,WT-137U,0,0,FALSE
weather-stations,LaCrosse,La Crosse 38cm Thermometer with Key Hider,22.18,204-115,0,0,FALSE
weather-stations,LaCrosse,La Crosse Indoor/Outdoor Thermometer with Magnet,13.03,104-106BL,0,0,FALSE
weather-stations,Tesa,Tesa Ws2980c Pro Weather Station,389,WS2900,Tws2980,0,FALSE
weather-stations,Tesa,Tesa WS2980C LCD Display Screen Weather Station,338.99,WS2980CLCD,Tws2980,0,FALSE
weather-stations,Tesa,TESA WS2900C-PRO 7 Inch Colour Wi-Fi Weather Station,299,WS2900C-PRO,0,Tws2980,FALSE
weather-stations,Tesa,Tesa WS1081 Ver3 Touch Screen with PC interface Weather Station,236.6,WS1081,Tws1081,0,FALSE
weather-stations,Tesa,Tesa Complete Outdoor Unit For WS1081,189,WS1081-OUTDOOR,TX81RW,0,FALSE
weather-stations,Tesa,Tesa WS1151 Moon Phase Weather Station,98.32,WS1151,0,0,FALSE
weather-stations,Tesa,TESA Thermo-Hygrometer,85.13,WS710,0,0,FALSE
weather-stations,Tesa,Rain Sensor For WS1081,80,WS1081-RAIN,0,0,FALSE
weather-stations,Tesa,Tesa ws2980c Rain Sensor Weather Station,80,WS2980C-RAIN,0,0,FALSE
weather-stations,Tesa,Wind Direction For WS1081,49,WH1081-DIRECT,0,0,FALSE
weather-stations,Tesa,Tesa ws2980c Wind Direction Weather Station,49,WS2980C-WIND,0,0,FALSE
weather-stations,Tesa,Tesa ws2980c Anenometer Weather Station,49,WS2980C-ANENOM,0,0,FALSE
weather-stations,Tesa,Tesa Wind Anemometer For WS1081,42,WH1081-WIND,0,0,FALSE
weather-stations,Tesa,TESA Desktop Wireless Thermometer,39.86,WS0200,0,0,FALSE
