type,brand,name,price,external_sku,internal_sku,simular_sku,tracked_sku
accessories-parts,Davis,Davis 6357M Vantage Vue Integrated Sensor Suite ISS (Wireless),767.00,6357,6357,,
accessories-parts,Davis,Davis 6450 Solar Radiation Sensor,537.00,6450,6450,,
accessories-parts,Davis,Davis 6510USB WeatherLink USB for Vantage Vue and PRO 2,493.00,6510USB,6510USB,,
accessories-parts,Davis,Davis 6614 Solar Power Kit,865.00,6614,6614,,
accessories-parts,Davis,Davis 6673 Sensor Mounting Shelf for Solar & UV sensors,110.00,6673,6673,,
accessories-parts,Davis,Davis Leaf & Soil Moisture/Temp Station 6345NZ,734.00,6345,6345,,
accessories-parts,Davis,Davis Leaf Wetness Sensor 6420,361.00,6420,6420,,
accessories-parts,Davis,Davis Mounting Pole Kit 7717,131.00,7717,7717,,
accessories-parts,Davis,Davis Mounting Tripod 7716,350.00,7716,7716,,
accessories-parts,Davis,Davis Soil Moisture Sensor 6440,186.00,6440,6440,,
accessories-parts,Davis,Davis Soil Temperature Sensor 6470,186.00,6470,6470,,
accessories-parts,Davis,Davis Standard Wireless Repeater 7627,821.00,7627,7627,,
accessories-parts,Davis,Davis Vantage Pro2 GroWeather ISS (Cabled) 6820C,1807.00,6820C,6820C,,
accessories-parts,Davis,Davis Vantage Pro2 GroWeather ISS 6820NZ ( Wireless),1971.00,6820nz,6820nz,,
accessories-parts,Davis,Davis WeatherLink Console 6313,865.00,6313,6313,,
accessories-parts,Davis,EnviroMonitor 3G/4G Gateway,2215.00,6803A,6803A,,
accessories-parts,Bresser - Explore Scientific,Explore Scientific Pool - Spa Sensor,99.95,SP60010-119651,SP60010-119651,,
accessories-parts,Bresser - Explore Scientific,Explore Scientific Soil Sensor,99.95,SM60020-119652,SM60020-119652,,
accessories-parts,Bresser - Explore Scientific,Explore Scientific Thermo Hygro Sensor,99.95,ST2001H-119650,ST2001H-119650,,
accessories-parts,iROX,iROX HTC13C,49.00,HTC13C,HTC13C,,
accessories-parts,iROX,iROX HTS12C,45.00,HTS12C,HTS12C,,
accessories-parts,iROX,iROX HTS55 Tem. & Humidity Sensor,55.00,HTS55,HTS55,,
accessories-parts,iROX,iROX HWS70 Anemometer,120.00,HWS70,HWS70,,
accessories-parts,La Crosse,La Crosse LTV-R3 Rain Sensor for C79790,55.00,LTV-R3,LTV-R3,,
accessories-parts,La Crosse,La Crosse LTV-TH2 Thermo-Hygro Sensor with LCD,35.00,LTV-TH2,LTV-TH2,,
accessories-parts,La Crosse,La Crosse LTV-TH3 Thermo-Hygro Sensor with LCD,42.00,LTV-TH3,LTV-TH3,,
accessories-parts,La Crosse,La Crosse LTV-W1 Wind Sensor,85.00,LTV-W1,LTV-W1,,
accessories-parts,La Crosse,La Crosse LTV-W1-MB Wind Sensor Mounting Bracket,20.00,LTV-W1-MB,LTV-W1-MB,,
accessories-parts,La Crosse,La Crosse LTV-WR1 Wind and Rain Gauge Multi Sensor,199.99,LTV-WR1,LTV-WR1,,
accessories-parts,Oregon Scientific,Oregon Scientific THGR810 Temp. & Humidity Sensor,99.99,THGR810,THGR810,,
accessories-parts,Oregon Scientific,Oregon Scientific UVN800 UV Sensor,109.00,UVN800,UVN800,,
accessories-parts,Tesa,Tesa Prof WIFI Base Station for WS2900C-PRO & WS2980C-PRO,150.00,WS2900C-11,WS2900C-11,,
accessories-parts,Tesa,Tesa TX29-WRTH Outdoor Multi Sensor for WS 2900C-PRO & 2980C-PRO,199.00,TX29-WRTH,TX29-WRTH,,
accessories-parts,Tesa,Tesa TX81RW - Complete Multi Sensor For WS1081 WH1081,150.00,TX81RW,TX81RW,,
accessories-parts,Tesa,Tesa WS1081v2 - Wind Anemometer Cups TX81,33.75,TX81V2-CUPS,TX81V2-CUPS,,
accessories-parts,Tesa,Tesa WS1081v2 - Wind Direction TX81,40.48,TX81-VANE,TX81-VANE,,
